unnamed: 0,master_sort,old_sort,coral_id,site,code,type,search_term,lowest_level,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species,coral_id_numeric,site_numeric,code_numeric,type_numeric,search_term_numeric,lowest_level_numeric,cafi_size_mm_numeric,measurement_numeric,alt_size_mm_numeric,alt_measurement_numeric,extraction_method_numeric,photo_num_numeric,id_certainty_numeric,general_notes_numeric,identification_notes_numeric,revised_yn_numeric,revision_date_numeric,identified_by_numeric,revised_by_numeric,previous_name_numeric,phylum_numeric,subphylum_numeric,superclass_numeric,class_numeric,subclass_numeric,superorder_numeric,order_numeric,suborder_numeric,infraorder_numeric,superfamily_numeric,family_numeric,subfamily_numeric,genus_numeric,species_numeric
1610,3316.0,3304.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,7.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,3442.0,3430.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,13.2,total_length,,,smash,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1612,3443.0,3431.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,5.9,total_length,,,smash,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,3444.0,3432.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,7.8,total_length,,,smash,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,3445.0,3433.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,10.8,total_length,,,smash,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1615,3446.0,3434.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,5,total_length,,,smash,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,3962.0,3950.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,4,total_length,,,field,,certain,"observed, not retained","In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,3337.0,3325.0,MAT-POC32,,COMO,snail,Galeropsis monodonta,species,19.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,3343.0,3331.0,MAT-POC33,,COMO,snail,Galeropsis monodonta,species,6.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,3344.0,3332.0,MAT-POC33,,COMO,snail,Galeropsis monodonta,species,7.8,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
