coral_id,slurry_date,nub,slurry_rep,slurry_volume,slurry_notes,dry_weight,dip_weight,wax_weight,surface_area,wax_dipping_notes,protein_analysis_date,protein_sample_notes,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_sample_notes,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_zoox_cells,num_zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,protein_mg_cm2,carb_mg_cm2,zooxdensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxdensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se
HAU-POC38,2019-08-16,2.0,1,18.0,nub not recorded; used wax dip data,11.87,13.083,1.213,4660.32,,2020-11-03,pellet/smear,0.384333333,0.007446103,1.292666667,0.028108915,2020-11-19,"somewhat clumpy, maybe discard",0.561666667,0.003711843,0.181666667,0.00120185,55.27777778,2.292080078,10,2019-12-16,tight,0.7814,0.0008,0.8307,0.0011,0.0493,0.0003,0.8178,0.0006,0.0129,0.0005,0.0049927901959522,0.0007016685562364,552777.7778,2135.04652049645,0.0498249047275724,0.0001085677528581,4.64202029045216e-06,22920.80078,88.5292027242764,0.0019311978576578
MAT-POC01,2019-08-04,1.0,1,25.0,,48.096,51.214,3.118,11880.27,,2020-11-02,pellet,0.536333333,0.009207485,1.175666667,0.022578259,2020-11-18,,0.585,0.006806859,0.172,0.002081666,42.72222222,1.654476114,1a_Pm,2019-07-14,tight,0.7768,0.0022,0.8258,0.0023,0.049,0.0001,0.81205,0.00255,0.01375,0.00025,0.0024739897893734,0.0003619446359384,427222.2222,899.016230691727,0.0289345275822856,4.75120914760355e-05,4.38051071229863e-06,16544.76114,34.8156252761932,0.0005260823196779
MAT-POC02,2019-08-04,1.0,1,20.0,,30.036,35.519,5.483,20843.62,,2020-11-02,pellet,0.555,0.005507571,1.181333333,0.013042665,2020-11-19,,0.668,0.007234178,0.191666667,0.002027588,107.25,4.922313142,1a_Pe,2019-07-14,wide,0.77685,0.00335,0.8264,0.0028,0.04955,0.00055,0.8126,0.0032,0.0138,0.0004,0.0011335203126904,0.0001839091933167,1072500.0,1029.09187559551,0.0132414618957743,1.25147791026703e-05,1.94552385813981e-06,49223.13142,47.2308854412045,0.0003838104897325
MAT-POC03,2019-08-04,1.0,1,12.0,,12.378,13.273,0.895,3455.1,,2020-11-01,pellet,0.642666667,0.011464922,1.365666667,0.026772706,2020-11-16,,0.543333333,0.007838651,0.157666667,0.002185813,100.5,5.43292432,3b,2019-07-14,tight,0.78145,0.00115,0.83,0.0013,0.04855,0.00015,0.8172,0.0013,0.0128,0.0,0.0047431333402795,0.0005475963080663,1005000.0,3490.49231570722,0.0444560215333854,9.29849995658592e-05,7.59160545280889e-06,54329.2432,188.692344186854,0.0
MAT-POC04,2019-08-13,2.0,1,21.0,"clumpy, working",18.271,19.545,1.274,4891.51,,,,,,,,,,,,,,45.58333333,2.709294701,1a_Pm,2019-07-14,tight,0.7753,0.0052,0.8217,0.0051,0.0464,0.0001,0.811,0.0055,0.0107,0.0004,,,455833.3333,1956.96216491431,0.0459367352821521,,,27092.94701,116.314162131939,0.001717261132043
MAT-POC05,2019-08-13,2.0,1,17.5,,13.526,14.588,1.062,4088.03,,2020-11-03,pellet/smear,0.440333333,0.00617342,0.914333333,0.014712051,,,,,,,63.33333333,2.924124664,No sample,2019-07-15,wide,0.7738,0.0044,0.82285,0.00465,0.04905,0.00025,0.8104,0.0045,0.01245,0.00015,0.0039140694484874,,633333.3333,2711.16731842721,0.0532958417624137,6.29792082005269e-05,,29241.24664,125.175650912542,0.0006421185754507
MAT-POC06,2019-08-13,1.0,1,22.5,,29.073,30.543,1.47,5634.35,,2020-11-01,pellet/smear,0.416,0.002886751,0.836,0.006928203,2020-11-16,,0.369666667,0.005897269,0.108666667,0.001855921,84.91666667,2.916666667,1a_Pe,2019-07-15,wide,0.7716,0.0052,0.8188,0.0062,0.0472,0.001,0.80695,0.00615,0.01185,5e-05,0.0033384507529706,0.0004339453543887,849166.6667,3391.0300213423,0.0473213414147151,2.76668235910087e-05,7.41136466495691e-06,29166.66667,116.473062567111,0.000199668107235
MAT-POC07,2019-08-13,1.0,1,21.0,,9.43,9.967,0.537,2098.28,,2020-11-03,smear,0.212333333,0.001452966,0.648333333,0.005238745,2020-11-19,,0.233,0.0,0.079,0.0,21.83333333,0.898380834,Did not amplify,2019-07-15,tight,0.77065,0.00155,0.8158,0.002,0.04515,0.00045,0.8054,0.0016,0.0104,0.0004,0.0064886478415654,0.0007906475780162,218333.3333,2185.12305283375,0.104085250776827,5.2430392988543e-05,0.0,8983.80834,89.9117253846007,0.0040032788760318
MAT-POC08,2019-08-13,2.0,1,22.5,,12.449,13.263,0.814,3148.11,,2020-11-02,pellet/smear,0.369333333,0.005783117,0.753333333,0.012875472,2020-11-17,,0.340333333,0.001855921,0.102666667,0.000666667,39.77777778,2.22809681,1a_Pm,2019-07-15,tight,0.77425,0.00755,0.82045,0.00755,0.0462,0.0,0.80945,0.00775,0.011,0.0002,0.0053841828883044,0.0007337735998742,397777.7778,2842.97562680465,0.0786185997312673,9.20228708653764e-05,4.76476600245862e-06,22280.9681,159.245319334458,0.001429429086023
MAT-POC09,2019-08-13,1.0,1,18.0,,44.918,46.883,1.965,7510.4,,2020-11-03,pellet/smear,0.716666667,0.131728677,1.567666667,0.311312455,2020-11-19,,0.785333333,0.005044249,0.225333333,0.001452966,72.5,2.506053278,1a_Pe,2019-07-16,wide,0.7886,0.0048,0.8361,0.0049,0.0475,0.0001,0.8226,0.005,0.0135,0.0001,0.0037571900306242,0.000540051128302,725000.0,1737.59054111632,0.0323551342138901,0.0007461152788133,3.48228962505326e-06,25060.53278,60.0619927087772,0.0002396676608436
