Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3),Convex Hull Volume (cm^3)
3-9A (FE-POC112), 3-9A (FE-POC112)_open_200K,Mesh,2294.798489,433.4020827,15.78548868,-6.485246301,22.27073498,0,13327.52254,5819.246709
3-9A (FE-POC112), 3-9A (FE-POC112)_closed_200K,Mesh,2406.668255,433.387709,15.78548868,-6.454922426,22.2404111,3239.42888,13313.54129,5816.627619
3-5B (FE-POC102), 3-5B (FE-POC102)_open_200K,Mesh,1946.99802,348.8757606,14.33482804,-7.928532798,22.26336084,0,10638.04719,4624.166202
3-5B (FE-POC102), 3-5B (FE-POC102)_closed_200K,Mesh,2124.247909,348.9057346,14.33482804,-7.928532798,22.26336084,2218.657342,10637.1909,4621.510412
3-5C (FE-POC103), 3-5C (FE-POC103)_open_200K,Mesh,2554.062725,444.7348233,17.28446668,-4.835674913,22.12014159,0,12452.87058,6413.650684
3-5C (FE-POC103), 3-5C (FE-POC103)_closed_200K,Mesh,2688.041396,444.6972841,17.28446668,-4.835674913,22.12014159,3343.310645,12452.87058,6409.695004
3-5D (FE-POC104), 3-5D (FE-POC104)_open_200K,Mesh,1542.011539,394.7641001,11.01333642,-4.308042397,15.32137881,0,8266.715705,3699.580592
3-5D (FE-POC104), 3-5D (FE-POC104)_closed_200K,Mesh,1646.46309,394.7696401,11.01333642,-4.308042397,15.32137881,1814.605099,8266.715705,3699.396029
3-5E (FE-POC105), 3-5E (FE-POC105)_open_200K,Mesh,2127.523166,407.968205,14.9001537,-7.545166099,22.4453198,0,11354.8133,5945.963834
3-5E (FE-POC105), 3-5E (FE-POC105)_closed_200K,Mesh,2306.487274,407.9523176,14.9001537,-7.545166099,22.4453198,2863.623824,11354.8133,5941.947767
3-5F (FE-POC106), 3-5F (FE-POC106)_open_200K,Mesh,1616.208067,404.876279,11.03937875,-5.825058817,16.86443757,0,9516.686954,3901.080502
3-5F (FE-POC106), 3-5F (FE-POC106)_closed_200K,Mesh,1762.481383,404.8695118,11.03937875,-5.825058817,16.86443757,1836.608535,9517.637142,3899.453148
3-6A (FE-POC107), 3-6A (FE-POC107)_open_200K,Mesh,1449.867614,293.5254783,6.962186804,-9.182905393,16.1450922,0,6899.196642,3072.677819
3-6A (FE-POC107), 3-6A (FE-POC107)_closed_200K,Mesh,1558.724304,293.5239196,6.962186804,-9.182905393,16.1450922,1802.48023,6899.196642,3071.96309
3-7A (FE-POC108), 3-7A (FE-POC108)_open_200K,Mesh,2682.394263,517.8679581,11.64572108,-6.781686082,18.42740716,0,12615.92271,6219.347614
3-7A (FE-POC108), 3-7A (FE-POC108)_closed_200K,Mesh,2833.037699,517.8943912,11.64572108,-6.778732564,18.42445364,3282.65618,12613.90065,6215.734456
3-8A (FE-POC109), 3-8A (FE-POC109)_open_200K,Mesh,2596.604802,493.7233664,13.09895082,-6.198306068,19.29725689,0,14131.01406,6200.493537
3-8A (FE-POC109), 3-8A (FE-POC109)_closed_200K,Mesh,2731.500996,493.6396766,13.09895082,-6.198306068,19.29725689,3226.226757,14129.30703,6203.052116
3-8B (FE-POC110), 3-8B (FE-POC110)_open_200K,Mesh,1497.025423,332.1735578,9.548806219,-7.755423082,17.3042293,0,8769.7638,3376.419356
3-8B (FE-POC110), 3-8B (FE-POC110)_closed_200K,Mesh,1660.029875,332.178841,9.548806219,-7.755423082,17.3042293,1585.838744,8770.081941,3375.168928
3-8C (FE-POC111), 3-8C (FE-POC111)_open_200K,Mesh,2030.994554,402.6755836,10.9352402,-6.271250294,17.20649049,0,9257.560771,4651.044213
3-8C (FE-POC111), 3-8C (FE-POC111)_closed_200K,Mesh,2173.879989,402.6619855,10.93337841,-6.253034967,17.18641337,2144.72159,9247.847288,4648.884444
3-9A (FE-POC112), 3-9A (FE-POC112)_open_200K,Mesh,2294.798489,433.4020827,15.78548868,-6.485246301,22.27073498,0,13327.52254,5819.246709
3-9A (FE-POC112), 3-9A (FE-POC112)_closed_200K,Mesh,2406.668255,433.387709,15.78548868,-6.454922426,22.2404111,3239.42888,13313.54129,5816.627619
3-9B (FE-POC113), 3-9B (FE-POC113)_open_200K,Mesh,2603.313651,471.66614,18.04233943,-4.483069533,22.52540896,0,14375.21309,6966.840221
3-9B (FE-POC113), 3-9B (FE-POC113)_closed_200K,Mesh,2742.473435,471.6193826,18.04233943,-4.483069533,22.52540896,4401.584505,14375.21309,6964.151501
3-9C (FE-POC114), 3-9C (FE-POC114)_open_200K,Mesh,963.2065457,260.2430458,8.675872363,-5.003667453,13.67953982,0,4912.106941,2071.079135
3-9C (FE-POC114), 3-9C (FE-POC114)_closed_200K,Mesh,1035.516168,260.2394071,8.675872363,-5.003667453,13.67953982,1350.514033,4912.106941,2071.010578
